AgeMidpoint,Dataset,IFR,LowerCI,UpperCI
5,Verity,,,
15,Verity,0.00007,0.000015,0.0005
25,Verity,0.00031,0.00014,0.00092
35,Verity,0.00084,0.00041,0.00185
45,Verity,0.0016,0.00076,0.0032
55,Verity,0.006,0.0034,0.013
65,Verity,0.019,0.011,0.039
75,Verity,0.043,0.025,0.084
85,Verity,0.078,0.038,0.133
9,Italy,0.00002,,
24,Italy,0.0002,,
42,Italy,0.0011,,
55,Italy,0.004,,
65,Italy,0.0174,,
75,Italy,0.083,,
10,Salje,0.00001,0.000001,0.00002
25,Salje,0.00005,0.00003,0.0001
35,Salje,0.0002,0.0001,0.0004
45,Salje,0.0005,0.0003,0.0009
55,Salje,0.002,0.001,0.0036
65,Salje,0.007,0.005,0.014
75,Salje,0.019,0.014,0.037
85,Salje,0.083,0.06,0.156
7,Perez-Saez*,,,
15,Perez-Saez*,,,
32,Perez-Saez*,0.000092,0.000042,0.00016
57,Perez-Saez*,0.0014,0.00096,0.0019
75,Perez-Saez*,0.056,0.043,0.074
75,Russell,0.064,0.026,0.13
30,Ward*,0.0003,0.0003,0.0004
55,Ward*,0.0052,0.0049,0.0055
72,Ward*,0.0387,0.0329,0.0446
80,Ward*,0.1871,0.1513,0.2229
30,Ward* All cause,0.0004,0.0003,0.0004
55,Ward* All cause,0.007,0.0066,0.0075
72,Ward* All cause,0.0449,0.0381,0.0516
80,Ward* All cause,0.1972,0.1599,0.2345
5,Pastor*,,,
15,Pastor*,,,
25,Pastor*,0.0001,0.0001,0.0002
35,Pastor*,0.00025,0.00015,0.0004
45,Pastor*,0.0007,0.00055,0.00085
55,Pastor*,0.00275,0.0023,0.0033
65,Pastor*,0.01015,0.00835,0.0123
75,Pastor*,0.0348,0.0273,0.0442
85,Pastor*,0.0812,0.0572,0.1138
5,Pastor* All cause,0.00025,0.00015,0.00055
15,Pastor* All cause,0.0001,0.00005,0.00015
25,Pastor* All cause,0.00005,0.00001,0.00005
35,Pastor* All cause,0.00025,0.00015,0.00035
45,Pastor* All cause,0.0006,0.00045,0.0008
55,Pastor* All cause,0.00265,0.0022,0.00315
65,Pastor* All cause,0.0112,0.00925,0.0136
75,Pastor* All cause,0.04395,0.0345,0.0557
85,Pastor* All cause,0.11465,0.08055,0.16
